,Владельцы,Владение,ПТС,Привод,Руль,Состояние,Таможня,bodyType,brand,color,complectation_dict,description,engineDisplacement,enginePower,equipment_dict,fuelType,image,mileage,modelDate,model_info,model_name,name,numberOfDoors,parsing_unixtime,priceCurrency,productionDate,sell_id,super_gen,vehicleConfiguration,vehicleTransmission,vendor,car_url,price
0,1 владелец,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,внедорожник 5 дв.,FORD,чёрный,{'id': '0'},"Автомобиль в отличном состоянии, куплен у дилера в ноябре 2017 года, обслуживался только у дилера, что подтверждается сервисной книжкой. Один владелец, ПТС оригинал, весь в родной краске. Комплектация XLT, 7 мест, камера заднего вида, навигация, электропривод сидений,3-х зонный климат-контроль. Салон чистый, никогда не курили. Из недостатков -небольшая царапина снизу на левой задней двери. Установлен спутник+ метка. 2 комплекта резины

Автосалонам не беспокоить.",3.5 LTR,249 N12,{},бензин,https://avatars.mds.yandex.net/get-autoru-vos/5331533/7c009df3d4ecab2b49fc6692a400ea18/320x240,87300,2015,"{'code': 'EXPLORER', 'name': 'Explorer', 'ru_name': 'Эксплорер', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Explorer,3.5 AT,5,1637880475.752021,RUB,2017,1106067104-81d05ddb,"{'id': '20520699', 'name': 'V Рестайлинг', 'ru_name': '5 Рестайлинг', 'year_from': 2015, 'year_to': 2018, 'price_segment': 'MEDIUM'}",ALLROAD_5_DOORS AUTOMATIC 3.5,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/explorer/1106067104-81d05ddb/,2550000.0
1,3 или более,4 года и 2 месяца,Оригинал,передний,Левый,Не требует ремонта,Растаможен,внедорожник 5 дв.,FORD,серебристый,{'id': '0'},"Продаю ФОРД Эскейп - Американец пробег в милях 169760. Пробег родной (проверял при покупке)  Машина в хорошем состоянии. Масло в ДВС от замены до замены (не жрет - не дымит и т.д) Недавно поменял тормозные диски (задние барабаны), колодки, тормозные поршни по кругу. Необходимо переварить задние арки и пороги (видно на фото)   P.S болезнь этой модели т.к нет и не предусмотрено заводом задних пластмассовых подкрылок. Не прокуренный салон. Не участвовала в ДТП. Комплект зимних шин в подарок. Торг у капота. Осмотр МО г. Электросталь.",2.3 LTR,155 N12,"{'engine-proof': True, 'cruise-control': True, 'electro-window-back': True, 'alloy-wheel-disks': True, 'tinted-glass': True, 'reduce-spare-wheel': True, 'airbag-driver': True, 'aux': True, 'electro-window-front': True, '17-inch-wheels': True, 'multi-wheel': True, 'audiosystem-tv': True, 'airbag-passenger': True, 'condition': True, 'abs': True, 'led-lights': True, 'wheel-configuration1': True, 'wheel-power': True, 'immo': True, 'alarm': True, 'lock': True, 'fabric-seats': True}",бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxheakfh2r_PEKzhJ1NBIam9yGbBLeyT1y4bUF2Uk19L3Q-n4bELgdq_qkA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,273200,2004,"{'code': 'ESCAPE', 'name': 'Escape', 'ru_name': 'Эскейп', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Escape,2.3 AT,5,1637880477.4295719,RUB,2005,1104080543-6ae24691,"{'id': '4601471', 'name': 'I Рестайлинг', 'ru_name': '1 Рестайлинг', 'year_from': 2004, 'year_to': 2007, 'price_segment': 'MEDIUM'}",ALLROAD_5_DOORS AUTOMATIC 2.3,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/escape/1104080543-6ae24691/,345000.0
2,2 владельца,5 лет и 11 месяцев,Оригинал,передний,Левый,Не требует ремонта,Растаможен,универсал 5 дв.,FORD,жёлтый,{'id': '0'},"В связи с переходом таксопарка на другие авто , в продаже Ford Focus 2015 года 1.6 МКПП. Все вопросы по телефону.  ",1.6 LTR,105 N12,{},бензин,https://avatars.mds.yandex.net/get-autoru-vos/5489899/eb7e61be8aba83199c99f7d53b16c837/320x240,328340,2014,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 MT,5,1637880478.8283622,RUB,2015,1106076055-5a79a770,"{'id': '20243246', 'name': 'III Рестайлинг', 'ru_name': '3 Рестайлинг', 'year_from': 2014, 'year_to': 2019, 'price_segment': 'MEDIUM'}",WAGON_5_DOORS MECHANICAL 1.6,механическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1106076055-5a79a770/,450000.0
3,3 или более,3 месяца,Оригинал,передний,Левый,Не требует ремонта,Растаможен,хэтчбек 5 дв.,FORD,чёрный,{'id': '0'},"Продаю Форд Фокус , в отличном состоянии.15 тысяч назад было произведено:

- замена ГРМ
- Аккумулятор
- Масло в коробке
- свечи зажигания
- трубка кондиционера
- трубка высокого давления ГУР
- Приводные ремни кондей и генератор

Все запчасти оригинал.


Покупал , как первую машины, очень доволен!",1.6 LTR,100 N12,"{'engine-proof': True, 'tinted-glass': True, 'airbag-driver': True, 'isofix': True, 'spare-wheel': True, 'audiosystem-tv': True, 'passenger-seat-updown': True, 'airbag-passenger': True, 'computer': True, 'navigation': True, 'wheel-power': True, 'alarm': True, 'lock': True, 'fabric-seats': True, 'alloy-wheel-disks': True, 'ptf': True, '16-inch-wheels': True, 'audiosystem-cd': True, 'condition': True, 'abs': True, 'led-lights': True, 'bluetooth': True, 'wheel-configuration2': True, 'wheel-configuration1': True, 'immo': True, '12v-socket': True}",бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0ShGz-Nkmz0clLVN30o3HJULC9Gg3gaBN3BR5yKyA5zIXFfwc1qaYA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,244000,2004,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 AT,5,1637880480.458347,RUB,2006,1106068836-822fc564,"{'id': '3480337', 'name': 'II', 'ru_name': '2', 'year_from': 2004, 'year_to': 2008, 'price_segment': 'MEDIUM'}",HATCHBACK_5_DOORS AUTOMATIC 1.6,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1106068836-822fc564/,385000.0
4,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,хэтчбек 5 дв.,FORD,чёрный,{'id': '0'},Год выпуска: 2004. Пробег: 268 542 км. Кузов: хэтчбек 5 дв.. Цвет: чёрный. Двигатель: 2.0 л / 131 л.с. / Бензин. Налог: 4 454 ₽ / год. Коробка: автоматическая. Привод: передний. Руль: Левый. Состояние: Не требует ремонта. Владельцы: 3 или более. ПТС: Оригинал. Таможня: Растаможен. VIN: X9F**************. Госномер: ******|790. ,2.0 LTR,131 N12,{},бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0Uhm37NkezhJMbUNWjpXHJArHsTlzpPRFxUhlxL3NqndDBel1trqIA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,268542,2001,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,2.0 AT,5,1637880481.9047112,RUB,2004,1106075092-b4c5490b,"{'id': '7699812', 'name': 'I Рестайлинг', 'ru_name': '1 Рестайлинг', 'year_from': 2001, 'year_to': 2005, 'price_segment': 'MEDIUM'}",HATCHBACK_5_DOORS AUTOMATIC 2.0,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1106075092-b4c5490b/,290000.0
5,3 или более,,Дубликат,передний,Левый,Не требует ремонта,Растаможен,лифтбек,FORD,синий,{'id': '0'},"Машину брал для себя . Расходники все поменяны, двигатель работает хорошо , масло не ест , коробка не пинается. Есть недочеты по кузову , на фото видно . Езжу на ней  каждый день . В комплекте зимняя резина.  Перекупам просьба не звонить. ",2.0 LTR,145 N12,{},бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0Ugmr8MUmzjckZB9Wk8XXOVu26TAO6ORV2Ux90eSw4ndCVKFk4_qEA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,247000,2000,"{'code': 'MONDEO', 'name': 'Mondeo', 'ru_name': 'Мондео', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Mondeo,2.0 AT,5,1637880483.64132,RUB,2002,1105111249-db5ba52b,"{'id': '3480231', 'name': 'III', 'ru_name': '3', 'year_from': 2000, 'year_to': 2003, 'price_segment': 'MEDIUM'}",LIFTBACK AUTOMATIC 2.0,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/mondeo/1105111249-db5ba52b/,220000.0
6,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,хэтчбек 5 дв.,FORD,синий,{'id': '0'},"При отсутствии QR-кода возможна дистанционная покупка автомобиля 🔥

⚡ 20 000 СКИДКА В КРЕДИТ  
⚡ 20 000 СКИДКА ПРИ ОБМЕНЕ 
 
✌ Федеральная сеть салонов от Перми до Москвы
✌ Рейтинг удовлетворенности клиентов - 98% 
✌ Цены — в районе 95% от средней цены модели на площадке
 
✅Кредит от 5%
✅Рассрочка
✅Первоначальный взнос от 0%
✅ГАРАНТИЯ
 
✅Скидки не суммируются

Проведена техническая диагностика автомобиля по 77 пунктам! По результатам проверки, автомобиль не требует никаких вложений! Прекрасное состояние лакокрасочного покрытия. Отличное состояние салона, без потертостей!

Дополнительно мы можем предоставить презентацию а/м по видео связи, дополнительные фото, результаты диагностики, отчет Автотеки, информацию о наличии крашенных элементов выслать в Viber/WhatsApp/Telegram

Опции:
• Резиновые ковры
•2 электростеклоподъемника
•Электрорегулировка зеркал
• Электроскладывание зеркал
•Аудиосистема
•Сигнализация штатная
•Кондиционер
•Подушки безопасности
•Усилитель руля
•Противотуманные фары
•ABS
___________________________
№К204/В/63602/133

✅Оформление за 30 минут
✅По двум документам
✅Без справок и поручителей
✅Более 20 банков партнеров
✅Ваш автомобиль может быть первоначальным взносом.
________________________________ 
 
Звоните и приезжайте – ваш правильный выбор в «КАРЛССОН».
Рады видеть вас каждый день с 9.00 до 21.00.

Учетный № №К204/В/63602/133",1.6 LTR,101 N12,"{'condition': True, 'ptf': True, 'abs': True, 'wheel-power': True, 'electro-window-front': True, 'audiosystem-cd': True, 'alarm': True, 'auto-mirrors': True, 'electro-mirrors': True}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/5233127/a47c95ff01b0b1851ec3bbc2896420cd/320x240,110000,2005,"{'code': 'FUSION', 'name': 'Fusion', 'ru_name': 'Фьюжн', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Fusion,1.6 MT,5,1637880485.274793,RUB,2007,1105880690-6bf8ec72,"{'id': '2306543', 'name': 'I Рестайлинг', 'ru_name': '1 Рестайлинг', 'year_from': 2005, 'year_to': 2012, 'price_segment': 'ECONOMY'}",HATCHBACK_5_DOORS MECHANICAL 1.6,механическая,AMERICAN,https://auto.ru/cars/used/sale/ford/fusion/1105880690-6bf8ec72/,320000.0
7,3 или более,13 лет и 5 месяцев,Оригинал,передний,Левый,Не требует ремонта,Растаможен,седан,FORD,серый,{'id': '0'},"Состояние хорошее, торг возможен.",2.0 LTR,140 N12,"{'alloy-wheel-disks': True, 'ptf': True, '16-inch-wheels': True, 'climate-control-2': True, 'audiosystem-tv': True, 'fabric-seats': True}",дизель,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0SiW3_PESzgpMZANyhpyfOXuy9Gg7hOhQjVh8jKnA6zNiWJg00qKIA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,214000,2006,"{'code': 'MONDEO', 'name': 'Mondeo', 'ru_name': 'Мондео', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Mondeo,2.0 AT,4,1637880486.7506614,RUB,2008,1106033150-adf09995,"{'id': '2306623', 'name': 'IV', 'ru_name': '4', 'year_from': 2006, 'year_to': 2010, 'price_segment': 'MEDIUM'}",SEDAN AUTOMATIC 2.0,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/mondeo/1106033150-adf09995/,511999.0
8,2 владельца,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,универсал 5 дв.,FORD,жёлтый,"{'id': '20647056', 'name': 'SYNC Edition', 'available_options': ['multi-wheel', 'airbag-passenger', 'lock', 'electro-mirrors', 'mirrors-heat', 'computer', 'seat-transformation', 'wheel-power', 'fabric-seats', 'steel-wheels', 'abs', 'esp', 'usb', 'audiopreparation', 'front-centre-armrest', 'electro-window-back', 'condition', 'airbag-driver', 'isofix', 'aux', 'electro-window-front', 'hcc', 'ptf', 'voice-recognition', 'audiosystem-cd', 'migration-flag', 'front-seats-heat', 'bluetooth', 'wheel-configuration2', 'wheel-configuration1', 'immo', '12v-socket', 'third-rear-headrest']}","Птс оригинал, без запретов и ограничений!! Ключа два. Двигатель , коробка, подвеска без нареканий. Авто на отличном ходу. Обмена и рассрочки нет!! Торг минимальный.",1.6 LTR,105 N12,"{'esp': True, 'airbag-driver': True, 'isofix': True, 'usb': True, 'aux': True, 'electro-window-front': True, 'hcc': True, 'multi-wheel': True, 'airbag-passenger': True, 'front-centre-armrest': True, 'computer': True, 'seat-transformation': True, 'wheel-power': True, 'lock': True, 'fabric-seats': True, 'electro-mirrors': True, 'electro-window-back': True, 'steel-wheels': True, 'ptf': True, 'voice-recognition': True, 'mirrors-heat': True, 'audiosystem-cd': True, 'condition': True, 'abs': True, 'front-seats-heat': True, 'bluetooth': True, 'wheel-configuration2': True, 'wheel-configuration1': True, 'immo': True, '12v-socket': True, 'third-rear-headrest': True}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/5475874/09e866c0f3032bc769b8cce8863e4e0e/320x240,400000,2014,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 MT,5,1637880488.8035822,RUB,2016,1105956820-1f95c1f3,"{'id': '20243246', 'name': 'III Рестайлинг', 'ru_name': '3 Рестайлинг', 'year_from': 2014, 'year_to': 2019, 'price_segment': 'MEDIUM'}",WAGON_5_DOORS MECHANICAL 1.6,механическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1105956820-1f95c1f3/,365000.0
9,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,седан,FORD,серебристый,{'id': '0'},"Все по телефону, в отличном состоянии.",2.0 LTR,145 N12,"{'steel-wheels': True, 'airbag-driver': True, 'isofix': True, 'mirrors-heat': True, 'electro-window-front': True, 'body-mouldings': True, 'audiopreparation': True, 'airbag-passenger': True, 'condition': True, 'computer': True, 'abs': True, 'seat-transformation': True, 'wheel-configuration2': True, 'wheel-power': True, 'immo': True, 'lock': True, '12v-socket': True, 'fabric-seats': True, 'electro-mirrors': True}",бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxheakfh2jxPUSzhM5MVtSl9CefB-ezGAO_aR8qAxkjKCRpndTAewg-86YA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,150000,2007,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,2.0 AT,4,1637880490.5287633,RUB,2010,1103815882-e1aa38ba,"{'id': '2306579', 'name': 'II Рестайлинг', 'ru_name': '2 Рестайлинг', 'year_from': 2007, 'year_to': 2011, 'price_segment': 'MEDIUM'}",SEDAN AUTOMATIC 2.0,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1103815882-e1aa38ba/,480000.0
10,2 владельца,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,седан,FORD,серый,"{'id': '2321544', 'name': 'Comfort', 'available_options': ['airbag-passenger', 'lock', 'electro-mirrors', 'mirrors-heat', 'computer', 'seat-transformation', 'wheel-power', 'fabric-seats', 'steel-wheels', 'abs', 'audiopreparation', 'body-mouldings', 'condition', 'airbag-driver', 'isofix', 'electro-window-front', 'migration-flag', 'wheel-configuration2', 'wheel-configuration1', 'immo', '12v-socket']}","Требуется замена трубки кондиционера, имеется трещина на лобовом стекле",1.8 LTR,125 N12,"{'steel-wheels': True, 'airbag-driver': True, 'isofix': True, 'mirrors-heat': True, 'electro-window-front': True, 'body-mouldings': True, 'audiopreparation': True, 'airbag-passenger': True, 'computer': True, 'condition': True, 'abs': True, 'seat-transformation': True, 'wheel-configuration2': True, 'wheel-power': True, 'wheel-configuration1': True, 'immo': True, 'lock': True, '12v-socket': True, 'fabric-seats': True, 'electro-mirrors': True}",бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxheawfg2D8M0KzjJoWWYCmpyKcU7LsGgjoOB8qAkggLCJsyIHDfQdpr_QA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,181590,2007,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.8 MT,4,1637880492.2139363,RUB,2009,1104007615-61f964ad,"{'id': '2306579', 'name': 'II Рестайлинг', 'ru_name': '2 Рестайлинг', 'year_from': 2007, 'year_to': 2011, 'price_segment': 'MEDIUM'}",SEDAN MECHANICAL 1.8,механическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1104007615-61f964ad/,300000.0
11,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,хэтчбек 5 дв.,FORD,серый,"{'id': '2321544', 'name': 'Comfort', 'available_options': ['airbag-passenger', 'lock', 'electro-mirrors', 'mirrors-heat', 'computer', 'seat-transformation', 'wheel-power', 'fabric-seats', 'steel-wheels', 'abs', 'audiopreparation', 'body-mouldings', 'condition', 'airbag-driver', 'isofix', 'electro-window-front', 'migration-flag', 'wheel-configuration2', 'wheel-configuration1', 'immo', '12v-socket']}","Доброго времени суток. Продаю отличный Форд Фокус в комплектации Titanium. Двухзонный климат-контроль, датчик дождя, датчик света.
Самый надёжный 2.0 мотор и МКПП
ПТС оригинал. 
Машина в хорошем состоянии, как технические так и по кузову. 
Мотор работает хорошо, без посторонних звуков. Подвеска в хорошем состоянии, вложений не требует. 
По кузову крашена крышка багажника и два крыла локально по ребро! То есть 90% деталей в родной краске! Есть пару царапин, сколов. 
Пробег оригинальный, видно как по состоянию салона, так и по базам.
Осмотр в любое время. Торг только у капота!
",2.0 LTR,145 N12,"{'asr': True, 'tinted-glass': True, 'esp': True, 'airbag-driver': True, 'isofix': True, 'usb': True, 'aux': True, 'electro-window-front': True, 'light-sensor': True, 'multi-wheel': True, 'audiosystem-tv': True, 'airbag-passenger': True, 'front-centre-armrest': True, 'computer': True, 'navigation': True, 'seat-transformation': True, 'wheel-power': True, 'rear-camera': True, 'lock': True, 'fabric-seats': True, 'electro-mirrors': True, 'drl': True, 'electro-window-back': True, 'steel-wheels': True, 'leather-gear-stick': True, 'driver-seat-support': True, 'ptf': True, '16-inch-wheels': True, 'rain-sensor': True, 'airbag-side': True, 'mirrors-heat': True, 'audiosystem-cd': True, 'dark-interior': True, 'body-mouldings': True, 'turnbuckle': True, 'driver-seat-updown': True, 'abs': True, 'led-lights': True, 'front-seats-heat': True, 'bluetooth': True, 'wheel-configuration2': True, 'wheel-leather': True, 'wheel-configuration1': True, 'immo': True, 'climate-control-2': True, '12v-socket': True}",бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0ThWnxMkez185LANampSfPX-PrTQO9OkJ2Vk13fiY_ytjCJlxur_YA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,222000,2007,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,2.0 MT,5,1637880493.8217711,RUB,2009,1105949840-ce6ba6a7,"{'id': '2306579', 'name': 'II Рестайлинг', 'ru_name': '2 Рестайлинг', 'year_from': 2007, 'year_to': 2011, 'price_segment': 'MEDIUM'}",HATCHBACK_5_DOORS MECHANICAL 2.0,механическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1105949840-ce6ba6a7/,490000.0
